Designator,Mid X,Mid Y,Rotation,Layer
SW1,140.6525,-90.17,0.0,top
SW10,183.515,-147.32,0.0,top
SW11,166.84625,-166.37,0.0,top
SW12,397.8275,-90.17,0.0,top
SW13,178.7525,-90.17,0.0,top
SW14,188.2775,-109.22,0.0,top
SW15,193.04,-128.27,0.0,top
SW16,202.565,-147.32,0.0,top
SW17,190.65875,-166.37,0.0,top
SW18,121.6025,-147.32,0.0,top
SW19,197.8025,-90.17,0.0,top
SW2,145.415,-109.22,0.0,top
SW20,207.3275,-109.22,0.0,top
SW21,212.09,-128.27,0.0,top
SW22,221.615,-147.32,0.0,top
SW23,395.44625,-128.27,0.0,top
SW24,402.59,-109.22,0.0,top
SW25,216.8525,-90.17,0.0,top
SW26,226.3775,-109.22,0.0,top
SW27,231.14,-128.27,0.0,top
SW28,240.665,-147.32,0.0,top
SW29,121.6025,-128.27,0.0,top
SW3,147.79625,-128.27,0.0,top
SW30,426.4025,-166.37,0.0,top
SW31,235.9025,-90.17,0.0,top
SW32,245.4275,-109.22,0.0,top
SW33,250.19,-128.27,0.0,top
SW34,259.715,-147.32,0.0,top
SW35,262.09625,-166.37,0.0,top
SW36,426.4025,-147.32,0.0,top
SW37,254.9525,-90.17,0.0,top
SW38,264.4775,-109.22,0.0,top
SW39,269.24,-128.27,0.0,top
SW4,152.55875,-147.32,0.0,top
SW40,278.765,-147.32,0.0,top
SW41,426.4025,-109.22,0.0,top
SW42,426.4025,-128.27,0.0,top
SW43,274.0025,-90.17,0.0,top
SW44,283.5275,-109.22,0.0,top
SW45,288.29,-128.27,0.0,top
SW46,297.815,-147.32,0.0,top
SW47,407.3525,-147.32,0.0,top
SW48,407.3525,-166.37,0.0,top
SW49,293.0525,-90.17,0.0,top
SW5,143.03375,-166.37,0.0,top
SW50,302.5775,-109.22,0.0,top
SW51,307.34,-128.27,0.0,top
SW52,316.865,-147.32,0.0,top
SW53,369.2525,-90.17,0.0,top
SW54,378.7775,-109.22,0.0,top
SW55,312.1025,-90.17,0.0,top
SW56,321.6275,-109.22,0.0,top
SW57,326.39,-128.27,0.0,top
SW58,335.915,-147.32,0.0,top
SW59,331.1525,-166.37,0.0,top
SW6,121.6025,-166.37,0.0,top
SW60,121.6025,-109.22,0.0,top
SW61,331.1525,-90.17,0.0,top
SW62,340.6775,-109.22,0.0,top
SW63,345.44,-128.27,0.0,top
SW64,354.965,-147.32,0.0,top
SW65,350.2025,-166.37,0.0,top
SW66,426.4025,-90.17,0.0,top
SW67,350.2025,-90.17,0.0,top
SW68,359.7275,-109.22,0.0,top
SW69,364.49,-128.27,0.0,top
SW7,159.7025,-90.17,0.0,top
SW70,381.15875,-147.32,0.0,top
SW71,369.2525,-166.37,0.0,top
SW72,388.3025,-166.37,0.0,top
SW8,169.2275,-109.22,0.0,top
SW9,173.99,-128.27,0.0,top
